requisito,tipo_acceso,descripcion_corta,historia_usuario,caso_uso,endpoint_o_componente,archivo_implementacion,prueba_automatizada,evidencia_empirica,estado,observaciones
RF-42,CRUD-ORM,Consulta paginada de la bitacora de auditoria,N/A (RNF-08),PENDIENTE-CU,GET /api/admin/auditorias,backend/src/main/java/org/uteq/backend/seguridad/audit/controller/AuditController.java,AuditControllerTest / AuditServiceTest,docs/mediciones/sec/a09-logging.txt,Implementado,
RF-43,CRUD-ORM,"Reportes del sistema en PDF (fichas, pagos, asistencias, evaluaciones, lesiones)",PENDIENTE-HU,PENDIENTE-CU,GET /api/reportes/estudiantes-fichas + /pagos + /asistencias + /evaluaciones + /lesiones,backend/src/main/java/org/uteq/backend/reportes/controller/ReportController.java,ReportControllerTest / ReportServiceTest / ReportPdfServiceTest,N/A,Implementado,
RF-44,CRUD-ORM,Exportacion de los datos personales propios en PDF (derecho de acceso),HU-17,PENDIENTE-CU,GET /api/usuarios/me/datos-pdf,backend/src/main/java/org/uteq/backend/seguridad/user/controller/PerfilController.java,PerfilControllerTest,N/A,Implementado,
RF-45,CRUD-ORM,Panel de alertas operativas para roles de gestion,PENDIENTE-HU,PENDIENTE-CU,GET /api/alertas,backend/src/main/java/org/uteq/backend/academico/alert/controller/AlertController.java,AlertServiceTest / AlertControllerTest,N/A,Implementado,
RF-46,CRUD-ORM,Catalogos de especialidades (CRUD) y de posiciones (consulta),PENDIENTE-HU,PENDIENTE-CU,CRUD /api/especialidades (6 rutas) + GET /api/posiciones/activas,backend/src/main/java/org/uteq/backend/deportivo/especialidad/controller/EspecialidadController.java,EspecialidadServiceTest / EspecialidadControllerTest / PosicionControllerTest,N/A,Implementado,
RF-47,CRUD-ORM,Resumen de asistencia por categoria y autoconsulta del estudiante,PENDIENTE-HU,PENDIENTE-CU,GET /api/asistencias/mapa + GET /api/estudiante/mi-asistencia,backend/src/main/java/org/uteq/backend/deportivo/asistencia/controller/ResumenAsistenciaController.java,ResumenAsistenciaControllerTest / MiAsistenciaControllerTest,N/A,Implementado,
RF-48,N/A,Observaciones de texto libre del entrenador sobre un estudiante,N/A,N/A,entidad deportivo.observaciones_estudiante (tabla+trigger V4; sin controller ni servicio JPA),backend/src/main/resources/db/migration/V4__evaluaciones.sql,Inspeccion (ver SRS 3.6 y ETHICS.md H-02),docs/etica/ETHICS.md (H-02),Implementado,"decision M7: se conserva como Implementado. H-02 RESUELTO por RNF-25 (2026-09-08) -> RF-48 sale de MoSCoW Won't, pasa a Could; el texto libre real (lesion/observacion general) ya tiene topes de longitud y guia"
RF-49,CRUD-ORM,Cedula opcional y validada (digito verificador ecuatoriano; UNIQUE parcial si hay valor),PENDIENTE-HU,PENDIENTE-CU,@Cedula (common.validation.CedulaValidator) en PersonRequest/RegisterRequest + Person.cedula nullable + V26 indice unico parcial,backend/src/main/java/org/uteq/backend/common/validation/CedulaValidator.java,CedulaValidatorTest / PersonControllerTest / PersonServiceTest,docs/etica/ETHICS.md (H-01),Implementado,"A2/H-01 RESUELTO 2026-09-08: cedula opcional (sin @NotBlank), @Cedula valida el digito verificador solo si viene, V26 quita NOT NULL y crea indice unico parcial WHERE cedula IS NOT NULL; PersonService/AuthService solo comprueban colision si hay valor. Las cedulas ficticias de seed.sql se cargan por SQL directo (no se validan) y son distintas; las pruebas por API usan cedulas validas"
RF-50,CRUD-ORM,Supresion/anonimizacion de datos del titular a solicitud del representante,PENDIENTE-HU,PENDIENTE-CU,POST /api/estudiantes/{id}/anonimizar + academico.sp_anonimizar_estudiante (propuesto),backend/src/main/java/org/uteq/backend/academico/student/,Pendiente,docs/etica/ETHICS.md (H-03),Planificado,"A2/H-03: no existe; SP versionado (RD-02) + endpoint ADMINISTRADOR auditado; criterio: campos identificativos neutros, FKs y conteos intactos, evento de auditoria; implementa RNF-22; fecha objetivo por fijar"
RF-51,CRUD-ORM,Consentimiento vigente como precondicion del envio de notificaciones al representante,PENDIENTE-HU,PENDIENTE-CU,NotificationService.crearParaCadaRepresentante (compuerta contra academico.consentimientos por alcance),backend/src/main/java/org/uteq/backend/academico/guardian/service/NotificationService.java,NotificationServiceTest / GuardianReportControllerTest,docs/etica/ETHICS.md (H-04/H-07),Implementado,"ya estaba: NotificationService consulta ConsentRepository (RevocadoEnIsNull) por alcance antes de insertar; sin consentimiento registra el motivo (log.info) y no crea; tests con/sin consentimiento y aislamiento de alcance en verde; cierra la mitad abierta de H-04"
RNF-01,N/A,Tiempo de respuesta p95 menor a 200ms,HU-05,CU-04,k6 50 VUs 30s x5,k6/,perf-analysis.py (5 corridas),docs/mediciones/perf/REPORT.md — p95 19.94ms (caliente) / 38.20ms (fria); media 11.28/17.74ms; 5 corridas 2026-09-07,Implementado,
RNF-02,N/A,Cache de listados con TTL 60s,HU-05,CU-04,RedisCacheConfig,backend/src/main/java/org/uteq/backend/config/RedisCacheConfig.java,StudentServiceTest.listar_devuelve_pagina_envuelta,docs/mediciones/perf/REPORT.md,Implementado,
RNF-03,N/A,Contrasenas con BCrypt coste 12,HU-01,CU-01,SecurityConfig,backend/src/main/java/org/uteq/backend/config/SecurityConfig.java,AuthServiceTest.loginConCredencialesCorrectasDevuelveTokensYSesion,db/seed.sql,Implementado,
RNF-04,N/A,Transporte cifrado TLS 1.2 o superior,HU-01,CU-01,nginx :8443,docker-compose.yml,Verificacion manual con openssl,docs/mediciones/sec/a02-tls.txt — TLS 1.3,Implementado,
RNF-05,N/A,Cabeceras de seguridad CSP HSTS nosniff DENY,N/A (RNF),PENDIENTE-CU,SecurityConfig,backend/src/main/java/org/uteq/backend/config/SecurityConfig.java,Verificacion via audit-owasp.sh,docs/mediciones/sec/a05-cabeceras.txt,Implementado,
RNF-06,N/A,Control de acceso por rol en servidor,HU-06,CU-05,PreAuthorize,backend/src/main/java/org/uteq/backend/academico/student/controller/StudentController.java,StudentControllerTest (403 en operaciones restringidas),docs/mediciones/sec/a01-acceso-roto.txt,Implementado,
RNF-07,N/A,Ausencia de SQL dinamico por concatenacion,N/A (RNF),CU-08,Auditoria de SQL dinamico,scripts/audit-owasp.sh,make audit,docs/mediciones/sec/a03-inyeccion.txt,Implementado,
RNF-08,N/A,Registro de auditoria de autenticacion,HU-01,CU-01,AuthController,backend/src/main/java/org/uteq/backend/seguridad/auth/controller/AuthController.java,Verificacion via audit-owasp.sh,docs/mediciones/sec/a09-logging.txt,Implementado,
RNF-09,N/A,Cobertura de pruebas mayor o igual a 70 por ciento en lineas y en branches,N/A (RNF),PENDIENTE-CU,JaCoCo,backend/pom.xml,550 pruebas en 74 clases (todas pasan) sobre 200 clases analizadas,Medido 2026-09-03 con mvn verify (el unico comando que hace cumplir el umbral): 84.66 por ciento de lineas (2639/3117) y 71.24 por ciento de branches (664/932) — recalculable desde docs/mediciones/jacoco/jacoco.csv; margen de 1.24 puntos sobre el minimo de branches,Implementado,
RNF-10,N/A,Errores tipificados segun RFC 9457 ProblemDetail,HU-06,CU-05,GlobalExceptionHandler,backend/src/main/java/org/uteq/backend/common/exception/GlobalExceptionHandler.java,StudentControllerTest.crear_con_datos_invalidos_da_422,docs/mediciones/sec/a07-rate-limit.txt,Implementado,
RNF-11,N/A,Versionado del esquema con Flyway sin ddl-auto,N/A (RNF),PENDIENTE-CU,Flyway V1-V6,backend/src/main/resources/db/migration/,BackendApplicationTests.contextLoads,docs/basedatos/DATA-DICTIONARY.md,Implementado,
RNF-12,N/A,Reproducibilidad en un solo comando,N/A (RNF),PENDIENTE-CU,make up,Makefile,Clonacion limpia verificada en carpeta independiente,README.md,Implementado,
RNF-13,N/A,Imagenes fijadas por digest sha256,N/A (RNF),PENDIENTE-CU,docker-compose,docker-compose.yml,scripts/pin-digests.sh,docker-compose.yml (digests reales),Implementado,
RNF-14,N/A,Politica de contrasenas unificada: minimo 8 con letra y digito distinta del usuario y hasta 72 bytes,N/A (RNF),PENDIENTE-CU,PasswordPolicy,backend/src/main/java/org/uteq/backend/seguridad/auth/PasswordPolicy.java,PasswordPolicyTest (8),Fuente decision de arquitectura (RNF de seguridad) aplicada en registro/admin/acceso-estudiante/reseteo,Implementado,
RNF-15,N/A,Correo saliente del enlace de restablecimiento (SMTP STARTTLS; deshabilitado por defecto),N/A (RNF),PENDIENTE-CU,SmtpPasswordResetMailer / LoggingPasswordResetMailer,backend/src/main/java/org/uteq/backend/seguridad/auth/mail/SmtpPasswordResetMailer.java,SmtpPasswordResetMailerTest (2) / LoggingPasswordResetMailerTest (1),Fuente interfaz externa (SRS seccion 4.5); un fallo del proveedor no rompe /forgot,Implementado,
RNF-16,N/A,Ningun dato identificativo de un menor sale hacia el proveedor de modelo de lenguaje; degradacion segura ante fallo,N/A (RNF),PENDIENTE-CU,common.ia (AnonymousPlayerProfile / AIFeedbackGenerator / Gemini|OpenAiFeedbackService),backend/src/main/java/org/uteq/backend/common/ia/AnonymousPlayerProfile.java,GeminiFeedbackServiceTest / OpenAiFeedbackServiceTest / PromptsFeedbackTest,"PromptsFeedbackTest (el prompt no contiene nombre, cédula ni correo)",Implementado,
RNF-17,N/A,Proteccion de datos personales de menores: cada hallazgo de ETHICS.md con criterio de cierre y fecha,N/A (RNF),PENDIENTE-CU,Politica documental,docs/etica/ETHICS.md,Inspeccion del cierre de cada hallazgo + a01-acceso-roto.txt,docs/mediciones/sec/a01-acceso-roto.txt,Modelado,
RNF-18,N/A,Usabilidad medible: media SUS mayor o igual a 68 con al menos 10 participantes externos,N/A (RNF),PENDIENTE-CU,Encuesta SUS,docs/mediciones/sus/,Analisis SUS n=15 (2026-08-18) media 69.33 IC95 58.87-79.79,docs/mediciones/sus/REPORT.md,Implementado,"medido 2026-08-18: SUS media 69,33 (IC95 58,87-79,79), n=15, grado C"
RNF-19,N/A,Accesibilidad Lighthouse mayor o igual a 90 tomando WCAG 2.1 AA como referencia,N/A (RNF),PENDIENTE-CU,Auditoria Lighthouse,docs/mediciones/lighthouse/,Lighthouse accesibilidad 100/100 en 3 corridas escritorio y movil,docs/mediciones/lighthouse/REPORT.md,Implementado,medido: accesibilidad 100/100 en 3 corridas (escritorio y movil); SEO 63 deliberado (robots.txt)
RNF-20,N/A,La construccion supera el quality gate de SonarQube; una condicion incumplida falla la CI,N/A (RNF),PENDIENTE-CU,SonarQube quality gate,docs/mediciones/sonarqube/quality-gate.json,quality-gate.json status OK caycStatus compliant,docs/mediciones/sonarqube/REPORT.md,Implementado,
RNF-21,N/A,En produccion HTTPS con certificado de CA reconocida (no autofirmado) TLS 1.2+ HSTS y redireccion,N/A (RNF),PENDIENTE-CU,nginx + despliegue,frontend/nginx.conf,a02-tls.txt reporta la version TLS + inspeccion del emisor del certificado,docs/mediciones/sec/a02-tls.txt,Modelado,
RNF-22,N/A,Conservacion y supresion de datos: plazo por categoria y procedimiento de supresion,N/A (RNF),PENDIENTE-CU,Politica documental,docs/etica/ETHICS.md,Inspeccion de la tabla de plazos frente al inventario de datos,docs/despliegue/BACKUP.md,Modelado,
RNF-23a,N/A,Autenticacion falla-cerrado ante caida de Redis: no aceptar tokens sin comprobar la lista de revocacion,N/A (RNF),PENDIENTE-CU,JwtAuthenticationFilter / RedisBlacklistService / SessionEpochService,backend/src/main/java/org/uteq/backend/seguridad/auth/security/JwtAuthenticationFilter.java,JwtAuthenticationFilterTest,Analisis del flujo del filtro + prueba manual deteniendo sged_redis (un recurso protegido responde 401 no 500),Implementado,
RNF-23b,N/A,Degradacion de la cache de listados a consulta directa ante caida de Redis via CacheErrorHandler,N/A (RNF),PENDIENTE-CU,RedisCacheConfig implements CachingConfigurer + CacheErrorHandler,backend/src/main/java/org/uteq/backend/config/RedisCacheConfig.java,RedisCacheErrorHandlerTest,N/A,Implementado,"A4 cerrado 2026-09-08: los cuatro handle*Error (get/put/evict/clear) registran en WARN y no relanzan; Spring cae a consultar la base; verificado con RedisCacheErrorHandlerTest y prueba manual con sged_redis detenido"
RNF-24,N/A,Respaldo diario retencion 30 dias + PITR declarado + RPO <=24h + RTO medido + evidencia de restauracion archivada,N/A (RNF),PENDIENTE-CU,pg_dump / pg_restore,docs/despliegue/BACKUP.md,Ejecucion real del procedimiento de BACKUP.md con cronometro (RTO/RPO pendientes de fijar; evidencia por archivar),docs/despliegue/RUNBOOK.md,Modelado,A3: destino de almacenamiento sin fijar; PITR de Supabase sin declarar; evidencia de restauracion sin archivar
RNF-25,N/A,Tope de longitud (servidor + motor) + control de acceso + guia de redaccion del texto libre sobre un menor,N/A (RNF),PENDIENTE-CU,@Size(1000) lesion + @Size(255) asistencia + guarda 2000 en EvaluacionDiariaService.finalizar + V25 CHECK char_length + @PreAuthorize ADMINISTRADOR/ENTRENADOR + guia en evaluacion-diaria.component,backend/src/main/resources/db/migration/V25__limite_texto_libre_menores.sql,EvaluacionDiariaServiceTest / LesionControllerTest,frontend evaluacion-diaria.component.spec (RNF-25 descripcion larga),Implementado,"A2/H-02 RESUELTO 2026-09-08: topes de longitud en servidor y motor en las 4 vias de texto libre + acceso restringido a roles tecnicos + guia de redaccion con contador/maxlength en el formulario de lesion; RF-48 sale de Won't"
